痒	itchy
仁	humanity, virtue, benevolence, charity, man, kernel
祈	pray, wish
郷	home town, village, native place, district
曙	dawn, daybreak
秩	regularity, salary, order
孔	cavity, hole, slit, very, great, exceedingly
暝	dark
秤	balances, scales, steelyard
話	tale, talk
奴	guy, slave, manservant, fellow
檀	cedar, sandlewood, spindle tree
鑿	chisel
瑶	beautiful as a jewel
猪	boar
記	scribe, account, narrative
届	deliver, reach, arrive, report, notify, forward
鱗	scales (fish)
黄	yellow
偽	falsehood, lie, deceive, pretend, counterfeit, forgery
間	interval, space
参	nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love
包	wrap, pack up, cover, conceal
蕨	bracken, fernbrake
槌	hammer, mallet
翼	wing, plane, flank
款	goodwill, article, section, friendship, collusion
直	straightaway, honesty, frankness, fix, repair
恋	romance, in love, yearn for, miss, darling
娃	beautiful
窃	stealth, steal, secret, private, hushed
紺	dark blue, navy
杏	apricot
飼	domesticate, raise, keep, feed
蓄	amass, keeping a concubine, phonograph
向	yonder, facing, beyond, confront, defy, tend toward, approach
宍	muscles, meat
伊	Italy, that one
歳	year-end, age, occasion, opportunity
司	director, official, govt office, rule, administer
脹	dilate, distend, bulge, fill out, swell
浅	shallow, superficial, frivolous, wretched, shameful
鋳	casting, mint
息	breath, respiration, son, interest (on money)
並	row, and, besides, as well as, line up, rank with, rival, equal
駐	stop-over, reside in, resident
決	decide, fix, agree upon, appoint
旅	trip, travel
程	extent, degree, law, formula, distance, limits, amount
訊	request, question, investigate
盾	shield, escutcheon, pretext
症	symptoms, illness
丈	length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely
動	move, motion, change, confusion, shift, shake
牟	pupil (eye), moo (cow sound)
厄	unlucky, misfortune, bad luck, disaster
濯	laundry, wash, pour on, rinse
半	half, middle, odd number, semi-, part-
汽	vapor, steam
接	touch, contact, adjoin, piece together
潔	undefiled, pure, clean, righteous, gallant
樒	tree whose branches are placed on Buddhist graves
金	gold
扇	fan, folding fan
肱	ability, talent, elbow, arm
厨	kitchen
溝	gutter, ditch, sewer, drain, 10**32
潮	tide, salt water, opportunity
辰	sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)
泊	overnight, put up at, ride at anchor, 3-day stay
憑	depend, rely, evidence, proof, according to, possess, haunt
噌	boisterous
騨	dappled grey horse
糎	centimeter, (kokuji)
棺	coffin, casket
婿	bridegroom, son-in-law
慶	jubilation, congratulate, rejoice, be happy
醐	boiled butter
覇	hegemony, supremacy, leadership, champion
予	beforehand, previous, myself, I
渦	whirlpool, eddy, vortex
腐	rot, decay, sour
舶	liner, ship
蒸	steam, heat, sultry, foment, get musty
喉	throat, voice
独	single, alone, spontaneously, Germany
併	join, get together, unite, collective
修	discipline, conduct oneself well, study, master
諺	proverb
志	intention, plan, resolve, aspire, motive, hopes, shilling
週	week
僚	colleague, official, companion
閲	review, inspection, revision
蘇	be resuscitated, revived
試	test, try, attempt, experiment, ordeal
棉	cotton
松	pine tree
奎	star, god of literature
静	quiet
堕	degenerate, descend to, lapse into
継	inherit, succeed, patch, graft (tree)
倒	overthrow, fall, collapse, drop, break down
哲	philosophy, clear
兎	rabbit, hare
笙	a reed instrument
漫	cartoon, involuntarily, in spite of oneself, corrupt
巣	nest, rookery, hive, cobweb, den
寿	longevity, congratulations, one's natural life
煕	shine
措	set aside, give up, suspend, discontinue, lay aside, except
鎮	tranquilize, ancient peace-preservation centers
萌	show symptoms of, sprout, bud, malt
送	escort, send
容	contain, form, looks
龍	dragon, imperial [old]
桂	Japanese Judas-tree, cinnamon tree
吏	officer, an official
躍	leap, dance, skip
咎	blame, censure, reprimand
輸	transport, send, be inferior
蚕	silkworm
卜	divining, fortune-telling, divination or katakana to radical (no. 25)
姪	niece
楕	ellipse
抄	extract, selection, summary, copy, spread thin
潜	submerge, conceal, hide, lower (voice), hush
升	measuring box, 1.8 liter
詣	visit a temple
叫	shout, exclaim, yell
挿	insert, put in, graft, wear (sword)
臣	retainer, subject
売	sell
促	stimulate, urge, press, demand, incite
霜	frost
弘	vast, broad, wide
桜	cherry
冶	melting, smelting
態	attitude, condition, figure, appearance, voice (of verbs)
鎌	sickle, scythe, trick
鄭	an ancient Chinese province
粥	rice gruel
童	juvenile, child
枠	frame, framework, spindle, spool, bounding-box, (kokuji)
路	path, route, road, distance
歴	curriculum, continuation, passage of time
冗	superfluous, uselessness
全	whole, entire, all, complete, fulfill
鴨	wild duck, easy mark
縁	affinity, relation, connection, edge, border, verge, brink
領	jurisdiction, dominion, territory, fief, reign
押	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
枢	hinge, pivot, door
焼	bake, burning
漂	drift, float (on liquid)
候	climate, season, weather
橘	mandarin orange
彪	spotted, mottled, patterned, small tiger
毬	burr, ball
彫	carve, engrave, chisel
思	think
探	grope, search, look for
鵡	cockatoo
約	promise, approximately, shrink
随	follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)
弧	arc, arch, bow
震	quake, shake, tremble, quiver, shiver
鍋	pot, pan, kettle
玖	beautiful black jewel, nine
戒	commandment
対	vis-a-vis, opposite, even, equal, versus, anti-, compare
腺	gland
頻	repeatedly, recur
場	location, place
槻	Zelkova tree
蔭	shade, shadow, backing assistance
燥	parch, dry up
絹	silk
祟	curse, haunt
図	map, drawing, plan, unexpected, accidentally
陽	sunshine, yang principle, positive, male, heaven, daytime
看	watch over, see
手	hand
八	eight, eight radical (no. 12)
縞	stripe
逸	deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge
毅	strong
弊	abuse, evil, vice, breakage
青	blue, green
庶	commoner, all, bastard
澱	sediment, grounds, dregs, stagnant
駒	pony, horse, colt
礁	reef, sunken rock
塩	salt
畜	livestock, domestic fowl and animals
頚	neck, head
円	circle, yen, round
島	island
耳	ear
逆	inverted, reverse, opposite, wicked
朝	morning, dynasty, regime, epoch, period, (North) Korea
政	politics, government
募	recruit, campaign, gather (contributions), enlist, grow violent
調	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate
仙	hermit, wizard, cent
運	carry, luck, destiny, fate, lot, transport, progress, advance
恰	just as, as though, fortunately
咽	choked, smothered, stuffy
葬	interment, bury, shelve
時	time, hour
栞	bookmark, guidebook
縫	sew, stitch, embroider
勇	courage, cheer up, be in high spirits, bravery, heroism
脆	brittle, fragile, easy to beat, sentimental, susceptible
翻	flip, turn over, wave, flutter, change (mind)
杖	staff, cane
籍	enroll, domiciliary register, membership
粋	chic, style, purity, essence, pith, cream, elite, choice
疹	measles, sickness
践	tread, step on, trample, practice, carry through
穏	calm, quiet, moderation
議	deliberation, consultation, debate, consideration
臥	bend down, bow, lie prostrate
琳	jewel, tinkling of jewelry
席	seat, mat, occasion, place
幹	tree trunk
業	business, vocation, arts, performance
侶	companion, follower
長	long, leader
袈	a coarse camlet
埋	bury, be filled up, embedded
慮	prudence, thought, concern, consider, deliberate, fear
帽	cap, headgear
錠	lock, fetters, shackles
溜	collect, gather, be in arrears
烙	burn
尖	be pointed, sharp, taper, displeased, angry, edgy
文	sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)
繕	darning, repair, mend, trim, tidy up, adjust
怒	angry, be offended
温	warm
瞳	pupil
盗	steal, rob, pilfer
屈	yield, bend, flinch, submit
員	employee, member, number, the one in charge
洞	den, cave, excavation
災	disaster, calamity, woe, curse, evil
墜	crash, fall (down)
普	universal, wide(ly), generally, Prussia
襖	opaque sliding door
硯	inkstone
装	attire, dress, pretend, disguise, profess
逝	departed, die
喋	talk, chat, chatter
庇	protect, shield, defend, eaves, canopy, penthouse, visor
聚	assemble
点	spot, point, mark, speck, decimal point
拷	torture, beat
斡	go around, rule, administer
児	newborn babe, child, young of animals
足	leg, foot, be sufficient, counter for pairs of footwear
失	lose, error, fault, disadvantage, loss
煤	soot, smoke dried
竪	length, height, warp
晴	clear up
玉	jewel, ball
焦	char, hurry, impatient, irritate, burn, scorch, singe
寄	draw near, stop in, bring near, gather, collect, send, forward
漆	lacquer, varnish, seven
退	retreat, withdraw, retire, resign, repel, expel, reject
遡	go upstream, retrace the past
暉	shine, light
磨	grind, polish, scour, improve, brush (teeth)
逮	apprehend, chase
共	together, both, neither, all, and, alike, with
匠	artisan, workman, carpenter
糠	rice bran
謀	conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive
祖	ancestor, pioneer, founder
万	ten thousand
粟	millet
遮	intercept, interrupt, obstruct
杓	ladle, scoop
夥	immense, tremendous
埠	wharf
需	demand, request, need
力	power, strong, strain, bear up, exert
姉	elder sister
道	road-way, street, district, journey, course, moral, teachings
肇	beginning
倣	emulate, imitate
鼓	drum, beat, rouse, muster
評	evaluate, criticism, comment
綴	compose, spell, write, bind (books)
欠	lack, gap, fail, yawning radical (no. 76)
葡	wild grape, Portugal
胚	embryo
諜	spy out, reconnoiter
悛	amend
櫓	oar, tower
昇	rise up
箸	chopsticks
嫡	legitimate wife, direct descent (non-bastard)
蛭	leech
斯	this, thus, such, verbal pause
謁	audience, audience (with king)
桐	paulownia
慢	ridicule, laziness
価	value, price
賃	fare, fee, hire, rent, wages, charge
疲	exhausted, tire, weary
喜	rejoice, take pleasure in
抜	slip out, extract, pull out, pilfer, quote, remove, omit
竃	kitchen stove, furnace, oven, hearth
輔	help
枝	bough, branch, twig, limb, counter for branches
例	example, custom, usage, precedent
範	pattern, example, model
均	level, average
赦	pardon, forgiveness
躊	hesitate
素	elementary, principle, naked, uncovered
詞	part of speech, words, poetry
研	polish, study of, sharpen
督	coach, command, urge, lead, supervise
秀	excel, excellence, beauty, surpass
唇	lips
犀	rhinocerous
葉	leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece
齢	age
眠	sleep, die, sleepy
兵	soldier, private, troops, army, warfare, strategy, tactics
昼	daytime, noon
悠	permanence, distant, long time, leisure
廓	enclosure, quarter, red-light district
國	country [old]
清	pure, purify, cleanse, exorcise, Manchu dynasty
部	section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine
読	read
育	bring up, grow up, raise, rear
推	conjecture, infer, guess, suppose, support
藷	potato
霧	fog, mist
蚊	mosquito
挺	counter for guns, inksticks, palanquins, rickshaws, bravely volunteer
黍	millet
湿	damp, wet, moist
革	leather, become serious, skin, hide, pelt
錆	tarnish
植	plant
糖	sugar
究	research, study
冬	winter
攻	aggression, attack
詳	detailed, full, minute, accurate, well-informed
橿	oak
汀	water's edge, shore, bank
損	damage, loss, disadvantage, hurt, injure
関	connection, barrier, gateway, involve, concerning
葺	thatch, cover, shingle, tile
仏	Buddha, the dead, France
朔	conjunction (astronomy), first day of month
凍	frozen, congeal, refrigerate
驚	wonder, be surprised, frightened, amazed
名	name, noted, distinguished, reputation
衣	garment, clothes, dressing
惇	sincere, kind, considerate
建	build
猛	fierce, rave, rush, become furious, wildness, strength
債	bond, loan, debt
安	relax, cheap, low, quiet, rested, contented, peaceful
葱	stone leek, Welsh onion
符	token, sign, mark, tally, charm
搬	conveyor, carry, transport
彙	same kind
占	fortune-telling, divining, forecasting, occupy, hold, have, get, take
酌	bar-tending, serving sake, the host, draw (water), ladle, scoop, pump
辞	resign, word, term, expression
誤	mistake, err, do wrong, mislead
騒	boisterous, make noise, clamor, disturb, excite
筑	an ancient musical instrument
常	usual, ordinary, normal, regular
賊	burglar, rebel, traitor, robber
凱	victory song
巡	patrol, go around, circumference
辱	embarrass, humiliate, shame
畏	fear, majestic, graciously, be apprehensive
矩	ruler, carpenter's square
垂	droop, suspend, hang, slouch
仰	face-up, look up, depend, seek, respect, rever, drink, take
裕	abundant, rich, fertile
者	someone, person
藍	indigo
緒	thong, beginning, inception, end, cord, strap
背	stature, height, back, behind, disobey, defy, go back on, rebel
出	exit, leave
呑	drink
壱	I, one
娠	with child, pregnancy
右	right
洛	Kyoto, the capital
晶	sparkle, clear, crystal
想	concept, think, idea, thought
熔	fuse, melt
灯	lamp, a light, light, counter for lights
前	in front, before
策	scheme, plan, policy, step, means
品	goods, refinement, dignity, article, counter for meal courses
兜	helmet, head piece
賠	compensation, indemnify
兇	wickedness
躯	body, corpse, tree with rotten core [old]
権	authority, power, rights
斗	Big Dipper, 10 sho (vol), sake dipper, dots and cross radical (no. 68)
沖	open sea, offing, rise high into sky
酸	acid, bitterness, sour, tart
京	capital, 10**16
争	contend, dispute, argue
信	faith, truth, fidelity, trust
唆	tempt, seduce, instigate, promote
肛	anus
鉱	mineral, ore
髭	beard, mustache
風	wind, air, style, manner
豹	leopard, panther
課	chapter, lesson, section, department, division, counter for chapters (of a book)
膝	knee, lap
渡	transit, ford, ferry, cross, import, deliver, diameter, migrate
塔	pagoda, tower, steeple
企	undertake, scheme, design, attempt, plan
忽	in a moment, instantly, all of a sudden, neglect, disregard
衷	inmost, heart, mind, inside
掠	pillage, rob, graze, skim, sweep over, cheat, hint
尽	exhaust, use up, run out of, deplete, befriend, serve
埼	cape, spit, promontory
曝	bleach, refine, expose, air
検	examination, investigate
麟	Chinese unicorn, genius, giraffe, bright, shining
嶽	peak [old]
詮	discussion, methods called for, selection, result
屑	rubbish, junk, trash, waste, scraps
汝	you, thou
槽	vat, tub, tank
浬	knot, nautical mile
渥	kindness
撞	thrust, pierce, stab, prick
狙	aim at, sight, shadow, stalk
粘	sticky, glutinous, greasy, persevere
沌	primeval chaos
耐	-proof, enduring
衡	equilibrium, measuring rod, scale
鬼	ghost, devil
蒔	sow (seeds)
気	spirit, mind, air, atmosphere, mood
導	guidance, leading, conduct, usher
愈	be superior, heal, more and more, increasingly, finally, beyond doubt
芳	perfume, balmy, flavorable, fragrant
甘	sweet, coax, pamper, be content, sugary
跪	kneel
椰	coconut tree
醜	ugly, unclean, shame, bad looking
盤	tray, shallow bowl, platter, tub, board, phonograph record
厘	rin, 1/10sen, 1/10bu
宙	mid-air, air, space, sky, memorization, interval of time
菫	the violet
琵	glissando on strings, lute
簡	simplicity, brevity
荒	laid waste, rough, rude, wild
日	day, sun, Japan, counter for days
衛	defense, protection
嫉	jealous, envy
据	set, lay a foundation, install, equip, squat down, sit down
塞	close, shut, cover, block, obstruct
曜	weekday
連	take along, lead, join, connect, party, gang, clique
煽	fan, flap, instigate, agitate, bolster up, gulp down
碧	blue, green
高	tall, high, expensive
賞	prize, reward, praise
迷	astray, be perplexed, in doubt, lost, err, illusion
脂	fat, grease, tallow, lard, rosin, gum, tar
斉	adjusted, alike, equal, similar variety of
亀	tortoise, turtle
律	rhythm, law, regulation, gauge, control
悼	lament, grieve over
婚	marriage
鍾	spindle, gather, collect
暇	spare time, rest, leisure, time, leave of absence
淑	graceful, gentle, pure
痘	pox, smallpox
萬	10000 [old]
未	un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac
拠	foothold, based on, follow, therefore
枚	sheet of..., counter for flat thin objects or sheets
箪	bamboo rice basket
敷	spread, pave, sit, promulgate
畷	rice field ridge path
阿	Africa, flatter, fawn upon, corner, nook, recess
譜	musical score, music, note, staff, table, genealogy
唐	T'ang, China
霞	be hazy, grow dim, blurred
涼	refreshing, nice and cool
谷	valley
滴	drip, drop
黒	black
班	squad, corps, unit, group
線	line, track
匿	hide, shelter, shield
喝	hoarse, scold
晟	clear
菩	kind of grass, sacred tree
丑	sign of the ox or cow, 1-3AM, second sign of Chinese zodiac
掻	scratch, rake, comb, paddle, behead
郎	son, counter for sons
就	concerning, settle, take position, depart, study, per
綺	figured cloth, beautiful
諸	various, many, several, together
庵	hermitage, retreat
籾	unhulled rice, (kokuji)
憂	melancholy, grieve, lament, be anxious, sad, unhappy
鼾	snoring
沐	wash
主	lord, chief, master, main thing, principal
地	ground, earth
贈	presents, send, give to, award to, confer on, presenting something
否	negate, no, noes, refuse, decline, deny
滅	destroy, ruin, overthrow, perish
鉄	iron
嬢	lass, girl, Miss, daughter
串	shish kebab, spit, skewer
閉	closed, shut
阪	heights, slope
榊	sacred Shinto tree, (kokuji)
儲	be profitable, yield profit
列	file, row, rank, tier, column
傘	umbrella
薙	mow down (the enemy)
耕	till, plow, cultivate
砕	smash, break, crush, familiar, popular
比	compare, race, ratio, Philipines
千	thousand
鮨	sushi, seasoned rice
誇	boast, be proud, pride, triumphantly
暫	temporarily, a while, moment, long time
雰	atmosphere, fog
顧	look back, review, examine oneself, turn around
浮	floating, float, rise to surface
麹	malt, yeast
耀	shine, sparkle, gleam, twinkle
妖	attractive, bewitching, calamity
旧	old times, old things, old friend, former, ex-
鴬	nightingale, bush warbler
色	color
壷	jar, pot, hinge knuckle, one's aim
混	mix, blend, confuse
産	products, bear, give birth, yield, childbirth, native, property
叱	scold, reprove
秦	Manchu dynasty, name given to naturalized foreigners
卑	lowly, base, vile, vulgar
漕	rowing, scull, paddle
乾	drought, dry, dessicate, drink up, heaven, emperor
鍛	forge, discipline, train
幸	happiness, blessing, fortune
条	article, clause, item, stripe, streak
茸	mushroom
尭	high, far
帥	commander, leading troops, governor
妓	stretch, singing girl, geisha, prostitute
杜	woods, grove
索	cord, rope
昔	once upon a time, antiquity, old times
泣	cry, weep, moan
佑	help, assist
渉	ford, ferry, port
排	repudiate, exclude, expel, reject
技	skill, art, craft, ability, feat, performance, vocation, arts
悟	enlightenment, perceive, discern, realize, understand
矯	rectify, straighten, correct, reform, cure, control, pretend, falsify
買	buy
魚	fish
粛	solemn, quietly, softly
野	plains, field, rustic, civilian life
不	negative, non-, bad, ugly, clumsy
鮎	freshwater trout, smelt
炉	hearth, furnace, kiln, reactor
礎	cornerstone, foundation stone
月	month, moon
耶	question mark
謙	self-effacing, humble oneself, condescend, be modest
錫	copper, tin
離	detach, separation, disjoin, digress
査	investigate
愛	love, affection, favourite
勺	ladle, one tenth of a go, dip
炬	torch, signal fire
史	history, chronicle
迭	transfer, alternation
丞	help
鮒	carp
慈	mercy
烏	crow, raven
坊	boy, priest's residence, priest
紋	family crest, figures
鹸	saltiness
布	linen, cloth
繭	cocoon
収	income, obtain, reap, pay, supply, store
褐	brown, woollen kimono
怨	grudge, show resentment, be jealous
認	acknowledge, witness, discern, recognize, appreciate, believe
寸	measurement, foot/10
梨	pear tree
丘	hill, knoll
浸	immersed, soak, dip, steep, moisten, wet, dunk
銅	copper
嚇	menacing, dignity, majesty, threaten
懇	sociable, kind, courteous, hospitable, cordial
陶	pottery, porcelain
鈍	dull, slow, foolish, blunt
把	grasp, faggot, bunch, counter for bundles
般	carrier, carry, all
邪	wicked, injustice, wrong
牲	animal sacrifice, offering
我	ego, I, selfish, our, oneself
危	dangerous, fear, uneasy
鳩	pigeon, dove
斐	beautiful, patterned
騙	deceive
則	rule, follow, based on, model after
各	each, every, either
銭	coin, .01 yen, money
分	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100
陸	land, six
鱒	salmon trout
藻	seaweed, duckweed
幡	flag
二	two, two radical (no.2)
朋	companion, friend
膿	pus, fester, discharge
見	see, hopes, chances, idea, opinion, look at, visible
憲	constitution, law
韮	leek
剣	sabre, sword, blade, clock hand
禎	happiness, blessed, good fortune, auspicious
撤	remove, withdraw, disarm, dismantle, reject, exclude
賀	congratulations, joy
肪	obese, fat
稽	think, consider, quarrel
子	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac
君	old boy, name-suffix
鮮	fresh, vivid, clear, brilliant, Korea
交	mingle, mixing, association, coming &amp; going
黛	blackened eyebrows
演	performance, act, play, render, stage
狩	hunt, raid, gather
舗	shop, store
瀕	shore, brink, verge
付	adhere, attach, refer to, append
駕	vehicle, palanquin, litter, hitch up an animal
双	pair, set, comparison, counter for pairs
疫	epidemic
確	assurance, firm, tight, hard, solid, confirm, clear, evident
栖	nest, rookery, hive, cobweb, den
這	crawl, creep, grovel, trail (vines)
科	department, course, section
勾	be bent, slope, capture
値	price, cost, value
劇	drama, play
篠	also N3428, bamboo grass
炭	charcoal, coal
控	withdraw, draw in, hold back, refrain from, be moderate
如	likeness, like, such as, as if, better, best, equal
砂	sand
屍	corpse
玩	play, take pleasure in, trifle with, make sport of
璽	emperor's seal
潅	pour into, irrigate, shed (tears, flow into, concentrate on
冒	risk, face, defy, dare, damage, assume (a name)
塗	paint, plaster, daub, smear, coating
最	utmost, most, extreme
桔	used in plant names
怯	cowardice, wince, flinch, hesitate, waver
夢	dream, vision, illusion
航	navigate, sail, cruise, fly
朽	decay, rot, remain in seclusion
紫	purple, violet
瞑	sleep, dark, close eyes
叶	grant, answer
樹	timber trees, wood
壊	demolition, break, destroy
諦	abandon, give up
拐	kidnap, falsify
母	mama, mother
嘗	once, before, formerly, ever, never, ex-, lick, lap up, burn up, taste, undergo, underrate, despise
葛	arrowroot, kudzu
誠	sincerity, admonish, warn, prohibit, truth, fidelity
待	wait, depend on
妹	younger sister
活	lively, resuscitation, being helped, living
述	mention, state, speak, relate
繁	luxuriant, thick, overgrown, frequency, complexity, trouble
碓	pestle
処	dispose, manage, deal with, sentence, condemn, act, behave, place
壌	lot, earth, soil
位	rank, grade, throne, crown, about, some
捜	search, look for, locate
糾	twist, ask, investigate, verify
卸	wholesale
隔	isolate, alternate, distance, separate, gulf
新	new
壇	podium, stage, rostrum, terrace
塑	model, molding
唯	solely, only, merely, simply
傑	greatness, excellence
培	cultivate, foster
箋	paper, label, letter, composition
庸	commonplace, ordinary, employment
峡	gorge, ravine
伐	fell, strike, attack, punish
揮	brandish, wave, wag, swing, shake
逓	relay, in turn, sending
雛	chick, squab, duckling, doll
泳	swim
禅	Zen, silent meditation
面	mask, face, features, surface
蕎	buckwheat
麦	barley, wheat
廿	twenty, 20
譬	illustrate
度	degrees, occurrence, time, counter for occurrences
帯	sash, belt, obi, zone, region
駁	refutation, contradiction
肌	texture, skin, body, grain
桃	peach tree
欲	longing, covetousness, greed, passion, desire, craving
害	harm, injury
淫	lewdness, licentiousness
郵	mail, stagecoach stop
薫	send forth fragrance, fragrant, be scented, smoke (tobacco)
墨	black ink, India ink, ink stick, Mexico
寓	temporary abode, keep, imply, suggest
鍵	key
宗	religion, sect, denomination, main point, origin, essence
蓉	lotus
町	town, village, block, street
遭	encounter, meet, party, association, interview, join
竣	end, finish
肩	shoulder
嬰	sharp (music), baby
亜	Asia, rank next, come after, -ous
萩	bush clover
暖	warmth
畦	rice paddy ridge, furrow, rib
屁	fart, passing gas
循	sequential, fellow
朴	crude, simple, plain, docile
悉	all, entirely, altogether, completely, use up, run out of, exhaust, befriend, serve
庁	government office
砦	fort, stronghold, entrenchments
勁	strong
階	storey, stair, counter for storeys of a building
珊	stagger, loneliness, centimeter
瑚	ancestral offering receptacle
矛	halberd, arms, festival float
斬	beheading, kill, murder
肥	fertilizer, get fat, fertile, manure, pamper
枯	wither, die, dry up, be seasoned
財	property, money, wealth, assets
錯	confused, mix, be in disorder
勉	exertion
盲	blind, blind man, ignoramus
俣	crotch, thigh, groin, (kokuji)
党	party, faction, clique
挫	crush, break, sprain, discourage
鋒	dagger, sword's point, festival car, float
蟹	crab
糟	dregs, sediment, grounds
株	stocks, stump, shares, stock, counter for small plants
歎	grief, lamentation
隊	regiment, party, company, squad
挙	raise, plan, project, behavior, actions
近	near, early, akin, tantamount
製	made in..., manufacture
澄	lucidity, be clear, clear, clarify, settle, strain, look grave
音	sound, noise
博	Dr., command, esteem, win acclaim, Ph.D., exposition, fair
覆	capsize, cover, shade, mantle, be ruined
雄	masculine, male, hero, leader, superiority, excellence
大	large, big
舷	gunwale
酔	drunk, feel sick, poisoned, elated, spellbound
絨	wool cloth
陰	shade, yin, negative, sex organs, secret, shadow
体	body, substance, object, reality, counter for images
准	quasi-, semi-, associate
胃	stomach, paunch, crop, craw
層	stratum, social class, layer, story, floor
変	unusual, change, strange
奮	stirred up, be invigorated, flourish
一	one, one radical (no.1)
透	transparent, permeate, filter, penetrate
広	wide, broad, spacious
邦	home country, country, Japan
只	only, free, in addition
和	harmony, Japanese style, peace, soften, Japan
膨	swell, get fat, thick
荷	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
凛	cold
鯉	carp
寵	affection, love, patronage
纏	wear, wrap, tie, follow around, collect
犠	sacrifice
負	defeat, negative, -, minus, bear, owe, assume a responsibility
韓	Korea
憶	recollection, think, remember
畳	tatami mat, counter for tatami mats, fold, shut up, do away with
宇	eaves, roof, house, heaven
孫	grandchild, descendants
鴻	large bird, wild goose, large, great, powerful, prosperous
捗	make progress
販	marketing, sell, trade
笛	flute, clarinet, pipe, whistle, bagpipe, piccolo
晦	dark, disappear
羅	gauze, thin silk, Rome
凄	uncanny, weird, threatening, horrible
圧	pressure, push, overwhelm, oppress, dominate
化	change, take the form of, influence, enchant, delude, -ization
表	surface, table, chart, diagram
批	criticism, strike
鯛	sea bream, red snapper
彊	strong
具	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
恨	regret, bear a grudge, resentment, malice, hatred
貰	get, have, obtain
劉	weapon of war, logging axe, kill en masse, peeling (paint off a wall, etc), sparse, faded
腫	tumor, swelling
喧	noisy, boisterous
雌	feminine, female
伝	transmit, go along, walk along, follow, report, communicate, legend, tradition
言	say
羽	feathers, counter for birds, rabbits
恥	shame, dishonor
侮	scorn, despise, make light of, contempt
惑	beguile, delusion, perplexity
粍	millimeter, (kokuji)
茜	madder, red dye, Turkey red
実	reality, truth
胡	barbarian, foreign
扶	aid, help, assist
破	rend, rip, tear, break, destroy, defeat, frustrate
宅	home, house, residence, our house, my husband
朱	vermilion, cinnabar, scarlet, red, bloody
炊	cook, boil
憧	yearn after, long for, aspire to, admire, adore
桧	Japanese cypress
燭	light, candlepower
元	beginning, former time, origin
棚	shelf, ledge, rack, mount, mantle, trellis
欣	take pleasure in, rejoice
昌	prosperous, bright, clear
従	accompany, obey, submit to, comply, follow, secondary, incidental, subordinate
奥	heart, interior
任	responsibility, duty, term, entrust to, appoint
畠	field, farm, garden, (kokuji)
琲	string of many pearls
麗	lovely, companion
白	white
弱	weak, frail
疎	alienate, rough, neglect, shun, sparse
姑	mother-in-law
逢	meeting, tryst, date, rendezvous
陵	mausoleum, imperial tomb
掌	manipulate, rule, administer, conduct, palm of hand
戸	door, counter for houses, door radical (no. 63)
通	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.
榎	lotus tree
娯	recreation, pleasure
寮	dormitory, hostel, villa, tea pavillion
疋	head, counter for animals
唖	mute, dumb
喚	yell, cry, scream
利	profit, advantage, benefit
誓	vow, swear, pledge
使	use
強	strong
窒	plug up, obstruct
揃	be complete, uniform, all present
詢	consult with
嘔	vomit, nauseated
窪	depression, cave in, sink, become hollow
鎚	hammer, mallet
牧	breed, care for, shepherd, feed, pasture
唄	songs with samisen
遷	transition, move, change
須	ought, by all means, necessarily
択	choose, select, elect, prefer
煉	refine metals, kneading over fire
構	posture, build, pretend
甥	nephew
達	accomplished, reach, arrive, attain
禽	bird, captive, capture
棘	thorn, splinter, spine, biting words, briers
致	doth, do, send, forward, cause, exert, incur, engage
幼	infancy, childhood
市	market, city, town
圃	garden, field
帝	sovereign, the emperor, god, creator
酵	fermentation
妻	wife, spouse
房	tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room
資	assets, resources, capital, funds, data, be conducive to, contribute to
馨	fragrant, balmy, favourable
篭	seclude oneself, cage, coop, implied
捻	twirl, twist, play with
呎	foot
嫁	marry into, bride
癒	healing, cure, quench (thirst), wreak
樗	Japanese bead tree
孝	filial piety, child's respect
蟄	hibernation of insects
鹿	deer
丁	street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign
薩	Buddha
圏	sphere, circle, radius, range
云	say
越	surpass, cross over, move to, exceed, Vietnam
唾	saliva, sputum
掛	hang, suspend, depend, arrive at, tax, pour
由	wherefore, a reason
紬	pongee (a knotted silk cloth)
鮪	tuna
聖	holy, saint, sage, master, priest
